dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label,attack_cat
1.823941,tcp,ftp,fin,12,14,826,768,13.706584,254,252,3324.668945,3131.680176,3,4,165.790267,132.322531,9763.269903,218.025328,255,505645182,2535618060,255,0.169678,0.103746,0.065932,69,55,0,0,2,1,1,1,1,2,0,0,0,2,2,0,0,Normal
0.257497,tcp,http,fin,10,6,858,268,58.253103,254,252,24015.8125,6959.304199,2,1,24.944889,42.021199,1303.382048,56.35143,255,1262957367,779355331,255,0.097267,0.047388,0.049879,86,45,1,0,1,1,4,1,1,1,0,0,1,1,1,0,1,Reconnaissance
0.071018,tcp,-,fin,60,62,3614,50036,1703.793334,31,29,400349.1875,5545523.5,7,24,1.198271,1.154148,74.490897,72.497843,255,3897916383,3898210301,255,0.000703,0.000607,9.6e-05,60,807,0,0,7,0,2,1,1,2,0,0,0,3,6,0,0,Normal
0.076366,tcp,-,rst,6,2,258,86,91.66383,254,60,22523.11328,4504.622559,1,1,15.2732,0.029,911.706158,0.0,255,2733274331,3602152237,255,0.063074,0.034884,0.02819,43,43,0,0,27,0,3,3,1,26,0,0,0,3,26,0,0,Normal
8e-06,mfe-nsp,-,int,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,1,Exploits
2.695007,tcp,-,fin,138,26,172450,1128,60.482216,254,252,508202.0,3220.770752,66,1,19.809464,110.294336,2510.555632,130.405492,255,2543017947,3009395615,255,0.12125,0.047942,0.073308,1250,43,0,0,7,1,2,1,1,5,0,0,0,1,8,0,1,Fuzzers
3.533765,tcp,http,fin,14,42,980,46266,15.564136,62,252,2060.125732,102247.8828,2,18,271.828087,81.912462,17862.37687,11128.86559,255,2362157037,172792179,255,0.261619,0.175297,0.086322,70,1102,1,22016,1,1,1,1,1,1,0,0,1,1,1,0,1,Exploits
0.001045,udp,dns,con,2,2,132,164,2870.813285,31,29,505263.125,627751.1875,0,0,0.01,0.001,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,0,1,1,1,1,0,0,0,12,2,0,0,Normal
0.652541,tcp,-,fin,12,8,2030,740,29.116945,254,252,22815.42578,7944.328613,3,2,55.563819,82.670289,2767.899695,107.387852,255,3367197480,3138701407,255,0.155549,0.07384,0.081709,169,93,0,0,8,1,2,2,1,8,0,0,0,2,8,0,1,Fuzzers
1.48021,tcp,-,fin,10,8,564,354,11.484857,254,252,2745.556396,1675.437988,2,1,155.831,199.183578,9060.825185,305.082625,255,3639205314,4251905682,255,0.231519,0.085924,0.145595,56,44,0,0,5,1,1,1,1,3,0,0,0,3,3,0,1,Reconnaissance
4e-06,unas,-,int,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,4,5,0,1,Backdoor
0.031967,tcp,-,fin,72,74,4238,63878,4535.927793,31,29,1046078.813,15770013.0,7,30,0.445662,0.429301,23.377532,22.761671,255,1304237687,3454150613,255,0.00075,0.000617,0.000133,59,863,0,0,8,0,5,1,1,2,0,0,0,4,16,0,0,Normal
0.510582,tcp,-,fin,10,6,534,268,29.378241,254,252,7536.498047,3509.720459,2,1,56.731333,79.134797,2828.105127,139.633234,255,113119622,2192274515,255,0.168321,0.096431,0.07189,53,45,0,0,2,1,1,1,1,2,0,0,0,4,2,0,0,Normal
0.504508,tcp,-,fin,12,6,3678,268,33.696194,254,252,53469.91406,3551.975342,3,1,43.693637,79.263203,2541.443028,117.629977,255,732098105,2637586591,255,0.194467,0.108182,0.086285,307,45,0,0,6,1,2,2,1,6,0,0,0,2,7,0,1,Fuzzers
0.019186,udp,-,con,4,4,568,312,364.849381,31,29,177629.5313,97571.14844,0,0,1.331333,5.914667,1.875013,8.356823,0,0,0,0,0.0,0.0,0.0,142,78,0,0,9,0,5,1,1,4,0,0,0,2,13,0,0,Normal
1.206477,tcp,http,fin,14,18,1684,10168,25.694645,31,29,10370.69043,63682.9375,3,5,92.780998,70.939588,10281.42596,9043.875582,255,2675968684,2676968016,255,0.000622,0.0005,0.000122,120,565,1,83,2,0,4,2,2,2,0,0,4,2,3,0,0,Normal
0.039713,tcp,-,fin,90,92,5174,83812,4557.701621,31,29,1030796.0,16700023.0,7,39,0.441596,0.429593,22.491935,21.822199,255,1173307102,3319015979,255,0.000736,0.000611,0.000125,57,911,0,0,7,0,2,1,1,2,0,0,0,4,3,0,0,Normal
1.932372,tcp,smtp,fin,24,20,8310,1764,22.252444,254,252,32970.87891,6938.622559,9,8,84.016171,99.788266,4791.184007,137.749375,255,2484317352,1609485483,255,0.163678,0.036327,0.127351,346,88,0,0,1,1,2,1,1,2,0,0,0,1,1,0,1,Generic
2e-06,udp,dns,int,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,15,15,15,25,0,0,0,15,25,0,1,Generic
5e-06,udp,-,int,2,0,1658,0,200000.0051,254,0,1326400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,829,0,0,0,5,2,4,4,1,4,0,0,0,6,5,0,1,Fuzzers
5e-06,udp,-,int,2,0,1066,0,200000.0051,254,0,852800000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533,0,0,0,14,2,4,4,1,14,0,0,0,4,14,0,0,Normal
1.648897,tcp,-,fin,18,20,1008,4944,22.439242,62,252,4618.845215,22788.56641,6,8,96.993941,82.548635,4657.363117,4286.289565,255,1065533246,2098560977,255,0.157044,0.079633,0.077411,56,247,0,0,2,1,1,1,1,1,0,0,0,2,1,0,1,Exploits
2.04967,tcp,-,fin,54,90,3618,95042,69.767329,31,29,13859.79199,366833.6875,7,37,39.41048,23.286454,8382.79193,6444.838286,255,1663909940,3819235784,255,0.000738,0.000459,0.000279,67,1056,0,0,8,0,5,2,1,8,0,0,0,5,11,0,0,Normal
3e-06,udp,dns,int,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,2,14,14,14,41,0,0,0,14,41,0,1,Generic
0.042861,tcp,-,fin,96,98,5486,92746,4502.928101,31,29,1013322.125,17134458.0,7,42,0.447642,0.435938,22.918335,22.664494,255,1420482262,1435181044,255,0.000731,0.000571,0.00016,57,946,0,0,5,0,2,1,1,1,0,0,0,1,5,0,0,Normal
1e-06,udp,dns,int,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,27,27,14,27,0,0,0,27,27,0,1,Generic
1.017649,tcp,-,con,6,2,978,86,6.878599,62,252,6406.923828,338.034027,2,1,203.5298,0.008,11303.76133,0.0,255,4074913296,1154956016,255,0.755076,0.451244,0.303832,163,43,0,0,4,3,1,1,1,4,0,0,0,1,4,0,0,Normal
1.080064,tcp,http,fin,14,18,1684,10168,28.702001,31,29,11584.49805,71136.52344,3,5,83.055387,63.504471,9075.679102,7946.781378,255,119004282,2265382247,255,0.000605,0.000481,0.000124,120,565,1,3924,1,0,7,1,1,3,0,0,1,3,3,0,0,Normal
0.337071,tcp,http,fin,10,6,1080,268,44.50101,254,252,23069.32422,5316.387207,2,1,33.001333,61.943801,1641.267372,83.349773,255,1233907447,1596102585,255,0.05725,0.02735,0.0299,108,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,Exploits
0.127742,tcp,-,fin,60,62,3614,45696,947.221689,31,29,222573.6094,2815612.5,7,24,2.159814,2.12115,125.299886,121.324698,255,1465667764,3737373438,255,0.000592,0.00047,0.000122,60,737,0,0,10,0,1,1,1,1,0,0,0,3,4,0,0,Normal
0.00111,udp,dns,con,2,2,146,178,2702.702815,31,29,526126.125,641441.4375,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,Normal
0.008951,tcp,-,fin,36,38,2334,16290,8155.513407,31,29,2028823.625,14176740.0,7,12,0.2462,0.225081,14.246982,12.971076,255,1580610936,3726308437,255,0.000783,0.000613,0.00017,65,429,0,0,6,0,2,1,1,1,0,0,0,2,1,0,0,Normal
8e-06,udp,dns,int,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,4,4,4,23,0,0,0,4,23,0,1,Generic
1.004558,tcp,http,fin,12,18,1580,10168,28.868419,31,29,11539.40332,76483.39063,3,5,91.292544,59.059468,9524.748212,7672.688595,255,341948730,2488420865,255,0.00069,0.000543,0.000147,132,565,1,0,1,0,2,1,1,2,0,0,1,1,1,0,0,Normal
0.773385,tcp,pop3,fin,20,26,962,12196,58.185769,62,252,9454.541016,121305.6875,7,11,40.704472,30.67136,1939.16042,1676.446524,255,194513211,1878285592,255,0.050193,0.005845,0.044348,48,469,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
0.700308,tcp,-,fin,10,8,564,354,24.275032,254,252,5803.160645,3541.298828,2,1,77.812,95.58143,5612.106012,132.97475,255,2675301527,3081783385,255,0.06358,0.030453,0.033127,56,44,0,0,1,1,1,1,1,1,0,0,0,8,1,0,1,Reconnaissance
0.036171,udp,-,con,4,4,520,304,193.525197,31,29,86256.94531,50427.13672,0,0,7.01,7.681333,9.898081,10.851732,0,0,0,0,0.0,0.0,0.0,130,76,0,0,12,0,2,1,1,1,0,0,0,2,5,0,0,Normal
0.337266,tcp,http,fin,10,8,816,1074,50.405318,62,252,17434.31055,22296.94141,2,2,37.474,38.39643,1951.98245,78.157859,255,2697744148,2681037885,255,0.069844,0.044224,0.02562,82,134,1,111,1,1,1,1,1,1,0,0,1,1,1,0,1,Exploits
0.508372,tcp,http,fin,10,8,1234,354,33.440079,254,252,17483.25977,4878.317383,2,1,54.643444,69.657711,3615.374659,107.655633,255,2162148078,2422494464,255,0.072241,0.020765,0.051476,123,44,1,0,1,1,18,1,1,43,0,0,1,17,2,0,1,Exploits
1.612294,tcp,-,fin,10,8,654,354,10.543983,254,252,2922.543945,1538.18103,2,1,176.827778,217.513281,11165.30094,429.272562,255,1914356740,1100574040,255,0.141042,0.089692,0.05135,65,44,0,0,3,1,4,2,2,2,0,0,0,2,2,0,0,Normal
0.006987,tcp,ssh,fin,32,24,3728,5474,7871.761974,31,29,4135680.5,6006584.0,7,7,0.240931,0.243087,14.180886,0.355052,255,3989412774,1844323627,255,0.000685,0.000561,0.000124,117,228,0,0,2,0,7,1,1,1,0,0,0,1,4,0,0,Normal
0.00703,tcp,-,fin,22,24,2054,2478,6401.137999,31,29,2231579.0,2702702.75,6,6,0.31819,0.279565,22.710357,16.78535,255,143867978,2293747857,255,0.000727,0.000592,0.000135,93,103,0,0,5,0,4,1,1,1,0,0,0,2,3,0,0,Normal
0.38643,tcp,-,fin,28,30,4616,3080,147.504078,31,29,92166.75781,61651.52734,7,7,14.292074,13.306759,773.583082,19.402773,255,1386192606,1516408686,255,0.000669,0.000529,0.00014,165,103,0,0,5,0,2,1,1,3,0,0,0,2,7,0,0,Normal
1.26478,tcp,-,fin,10,8,564,354,13.441072,254,252,3213.207031,1960.815308,2,1,140.531111,168.575141,9496.441815,246.683609,255,438162575,3204681495,255,0.153069,0.084078,0.068991,56,44,0,0,6,1,1,1,1,1,0,0,0,4,1,0,1,Reconnaissance
4.029813,tcp,-,fin,122,126,7816,16782,61.29317,31,29,15389.30078,33051.66016,30,32,33.301304,32.234512,2058.175691,2025.932393,255,639080153,680877496,255,0.000645,0.000494,0.000151,64,133,0,0,2,0,4,1,1,1,0,0,0,1,9,0,0,Normal
1.267399,tcp,http,fin,10,10,828,1372,14.991333,62,252,4708.856445,7795.493164,2,2,140.810444,131.499672,9062.414153,224.465953,255,887756255,3169858920,255,0.155645,0.083901,0.071744,83,137,0,0,2,1,1,3,1,1,0,0,0,3,1,0,1,Exploits
0.025303,tcp,-,fin,64,66,3806,51808,5098.209581,31,29,1184681.625,16132158.0,7,26,0.409197,0.385625,21.512888,20.47046,255,3652298968,1503028968,255,0.000752,0.000615,0.000137,59,785,0,0,4,0,4,1,1,3,0,0,0,3,4,0,0,Normal
35.988567,tcp,-,fin,66,66,3910,51808,3.640045,31,29,856.049622,11342.26856,7,26,562.316362,553.661062,93622.17582,2884.91525,255,421933865,2567621372,255,0.000718,0.000578,0.00014,59,785,0,0,7,0,8,1,1,3,0,0,0,5,21,0,0,Normal
3e-06,unas,-,int,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0,1,DoS
0.185685,tcp,-,fin,10,6,602,268,80.781972,254,252,23351.375,9650.75293,2,1,19.077889,35.806,1003.182247,59.81918,255,1917012278,1090191872,255,0.051688,0.006646,0.045042,60,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
0.982503,tcp,-,fin,12,8,1228,750,19.338363,254,252,9168.419922,5349.602051,3,2,83.367911,126.794859,4281.246404,166.320531,255,4036648858,4027403245,255,0.162832,0.094933,0.067899,102,94,0,0,5,1,1,1,1,2,0,0,0,2,2,0,1,Fuzzers
0.020826,tcp,-,fin,48,50,2958,32642,4657.639328,31,29,1112839.625,12288485.0,7,18,0.436532,0.413694,24.889048,24.413228,255,2445403614,2462487276,255,0.000686,0.000546,0.00014,62,653,0,0,7,0,2,1,1,1,0,0,0,2,5,0,0,Normal
0.340972,tcp,-,fin,16,18,1540,1644,96.782139,31,29,33879.61328,36437.00781,4,4,22.708067,19.991766,1313.917259,36.28891,255,3855154665,1730428407,255,0.001299,0.001105,0.000194,96,91,0,0,7,0,6,2,1,2,0,0,0,2,5,0,0,Normal
0.520601,tcp,ftp-data,fin,8,10,364,3754,32.654568,62,252,4902.026855,51924.60547,1,3,74.371574,50.656222,4331.263312,3632.583492,255,603602149,1304884323,255,0.09498,0.063913,0.031067,46,375,0,0,1,1,3,1,1,2,0,0,0,2,1,0,1,Exploits
2.598208,tcp,smtp,fin,106,32,115589,2214,52.728651,62,252,352547.5938,6604.552246,50,8,24.737648,78.232391,2183.81581,89.568836,255,1088203694,2333794038,255,0.274712,0.172998,0.101714,1090,69,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
1.321965,tcp,-,fin,10,8,2516,354,12.859645,254,252,13706.86816,1875.995239,2,1,140.374111,179.611,9483.431754,250.662891,255,1251379493,1023947853,255,0.160931,0.06468,0.096251,252,44,0,0,4,1,3,3,3,3,0,0,0,4,3,0,0,Normal
0.713747,tcp,-,fin,14,6,8834,268,26.620076,254,252,91942.9375,2510.693359,4,1,54.800153,112.988398,3337.811483,179.57825,255,4261141832,1863661127,255,0.222874,0.148769,0.074105,631,45,0,0,4,1,1,1,1,4,0,0,0,1,4,0,0,Normal
0.360385,tcp,-,fin,12,10,570,1258,58.271016,62,252,11609.80664,25150.88086,3,3,32.762272,38.063891,1598.618127,49.896141,255,1721899124,1716082393,255,0.061802,0.01704,0.044762,48,126,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
0.561501,tcp,-,fin,10,6,978,268,26.71411,254,252,12552.06934,3191.445557,2,1,62.292333,95.410203,3056.851879,137.243531,255,1908404083,885166421,255,0.180558,0.084447,0.096111,98,45,0,0,7,1,1,1,1,2,0,0,0,3,2,0,0,Normal
0.894,tcp,-,fin,12,8,1110,702,21.252797,254,252,9109.620117,5503.355957,3,2,78.94782,107.929289,3963.303958,133.748453,255,3104721256,1765228482,255,0.203511,0.13849,0.065021,93,88,0,0,4,1,2,1,1,2,0,0,0,1,2,0,0,Normal
0.005882,tcp,ssh,fin,32,24,3728,5474,9350.560899,31,29,4912614.5,7134988.0,7,7,0.189742,0.227696,12.001855,0.334988,255,3543804161,3544109137,255,0.000641,0.000524,0.000117,117,228,0,0,2,0,6,1,1,4,0,0,0,5,1,0,0,Normal
1.705316,tcp,-,fin,12,8,994,750,11.14163,254,252,4278.38623,3082.126709,3,2,148.900094,220.864281,7854.597215,318.68675,255,360561384,1907167935,255,0.261791,0.159257,0.102534,83,94,0,0,4,1,1,1,1,2,0,0,0,2,2,0,1,Fuzzers
0.790452,tcp,ftp-data,fin,14,6,8928,320,24.03688,31,29,83911.48438,2702.251465,4,1,60.804,157.959797,5019.892666,202.311344,255,129727487,886874323,255,0.000649,0.000524,0.000125,638,53,0,0,1,0,5,1,1,4,0,0,0,9,3,0,0,Normal
0.147983,tcp,-,fin,14,6,8510,268,128.393127,254,252,427238.25,12109.49902,4,1,10.424231,28.227,713.220228,47.561418,255,2286571187,1165973531,255,0.05039,0.006839,0.043551,608,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
1.073154,tcp,-,fin,10,8,564,354,15.841156,254,252,3786.968262,2310.945068,2,1,115.640333,144.904422,8497.284925,199.324141,255,1756375733,2540740891,255,0.098447,0.058814,0.039633,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Reconnaissance
9e-06,udp,dns,int,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,12,12,12,12,0,0,0,13,12,0,1,Generic
0.222448,tcp,ftp-data,fin,14,6,8928,320,85.413218,31,29,298173.0625,9602.244141,4,1,17.111384,44.357801,1557.082705,66.418055,255,2680408489,1097170221,255,0.000701,0.000537,0.000164,638,53,0,0,3,0,8,1,1,5,0,0,0,4,3,0,0,Normal
0.001033,udp,dns,con,2,2,146,178,2904.162775,31,29,565343.6875,689254.625,0,0,0.01,0.01,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,2,1,1,0,0,0,10,1,0,0,Normal
0.226386,tcp,http,fin,10,8,820,1898,75.092984,62,252,26079.35156,58696.21094,2,2,25.154,30.688285,1371.670761,54.883316,255,261388522,117694121,255,0.053383,0.007201,0.046182,82,237,1,550,1,1,1,1,1,1,0,0,1,1,1,0,1,Exploits
0.00107,udp,dns,con,2,2,146,178,2803.738322,31,29,545794.375,665420.5625,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,3,1,1,1,0,0,0,2,2,0,0,Normal
0.437893,tcp,http,fin,16,6,11380,268,47.956921,254,252,194915.1875,4092.323975,5,1,25.885599,78.964203,1713.933385,116.288188,255,121069854,2841691194,255,0.121824,0.043069,0.078755,711,45,1,0,2,1,1,1,1,1,0,0,1,18,1,0,1,Exploits
0.257576,tcp,http,fin,10,8,1232,1042,65.999941,254,252,34444.20313,28325.62109,2,2,28.619556,26.948,1386.457198,48.140922,255,523095035,956238314,255,0.059577,0.035691,0.023886,123,130,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,Exploits
6.290926,tcp,pop3,fin,54,224,2420,276205,44.031674,62,252,3021.494873,349674.4375,7,110,118.696716,27.971847,6025.098057,2873.300474,255,2128857255,3594721049,255,0.132411,0.079627,0.052784,45,1233,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
8e-06,udp,dns,int,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,4,7,0,0,0,7,11,0,1,Generic
9.81386,tcp,pop3,fin,28,48,1316,31302,7.642253,62,252,1034.455322,24985.07227,7,17,363.476306,210.58046,24545.83199,18101.94965,255,3057095340,772796519,255,0.295635,0.126778,0.168857,47,652,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
0.676776,tcp,-,fin,10,8,620,354,25.119094,254,252,6595.978516,3664.432617,2,1,73.794556,86.208711,4962.295963,131.296703,255,1557197982,375914856,255,0.13392,0.073307,0.060613,62,44,0,0,9,1,1,1,1,9,0,0,0,1,9,0,0,Normal
0.030906,tcp,smtp,fin,52,40,37228,3276,2944.41216,31,29,9451369.0,827023.875,18,8,0.598745,0.780564,34.495042,1.558688,255,3954868569,1806359877,255,0.000593,0.000461,0.000132,716,82,0,0,1,0,1,1,1,1,0,0,0,3,1,0,0,Normal
1.152612,tcp,http,fin,10,10,832,1228,16.484299,62,252,5198.627441,7676.477539,2,2,128.068,114.386109,9479.104382,183.255422,255,3291186925,2879479575,255,0.124034,0.065105,0.058929,83,123,1,150,2,1,1,1,1,2,0,0,1,1,2,0,0,Normal
0.633836,tcp,-,fin,10,8,534,354,26.820819,254,252,6070.971191,3912.684326,2,1,66.141667,80.22857,4387.175135,123.153453,255,3758586485,344616861,255,0.113279,0.072226,0.041053,53,44,0,0,6,1,4,4,1,6,0,0,0,4,6,0,1,Fuzzers
0.039931,tcp,-,fin,90,92,5174,83812,4532.819195,31,29,1025168.438,16608851.0,7,39,0.45008,0.432055,23.3501,23.022726,255,1228534932,3374238995,255,0.000737,0.000605,0.000132,57,911,0,0,9,0,1,1,1,4,0,0,0,4,7,0,0,Normal
1.667936,tcp,-,fin,10,6,3160,268,8.993151,254,252,13640.81152,1074.381714,2,1,185.254667,320.716,13026.03772,590.134875,255,4142119603,4243273235,255,0.125537,0.064353,0.061184,316,45,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1,Exploits
0.947534,tcp,-,fin,10,6,588,268,15.830566,254,252,4474.773438,1891.224976,2,1,105.12,162.154797,5704.275591,278.7295,255,2350445429,3160058061,255,0.228125,0.136752,0.091373,59,45,0,0,4,1,1,1,1,2,0,0,0,3,2,0,0,Normal
0.225593,tcp,http,fin,10,6,854,268,66.491425,254,252,27270.34961,7943.508789,2,1,23.107333,41.336398,1222.913394,68.990359,255,2417349631,743165027,255,0.063719,0.018902,0.044817,85,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,Exploits
0.035942,tcp,-,fin,84,86,4862,75600,4702.019999,31,29,1069500.875,16631462.0,7,36,0.434549,0.422,22.860766,22.784043,255,3229432946,3230881562,255,0.000609,0.000485,0.000124,58,879,0,0,2,0,4,1,1,1,0,0,0,2,11,0,0,Normal
1.23287,tcp,-,fin,10,8,564,354,13.788964,254,252,3296.373535,2011.566528,2,1,134.627556,168.346578,7944.097448,257.535625,255,2601662022,3434697169,255,0.156294,0.054443,0.101851,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Reconnaissance
0.2647,tcp,-,fin,10,12,2652,9188,79.335098,254,252,72142.04688,254567.4375,2,4,29.411111,22.941636,1404.568151,1737.515013,255,1680976031,4196662150,255,0.06147,0.011537,0.049933,265,766,1,0,1,1,1,1,1,2,0,0,1,1,1,0,1,Exploits
0.001403,udp,-,con,2,2,284,152,2138.275166,31,29,809693.5,433357.0938,0,0,0.002,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,142,76,0,0,6,0,4,1,1,2,0,0,0,5,6,0,0,Normal
0.307119,tcp,-,fin,10,6,582,268,48.841001,254,252,13649.43164,5834.871582,2,1,34.124333,44.438398,1672.725852,76.824313,255,1266341630,4122818429,255,0.09027,0.054275,0.035995,58,45,0,0,10,1,2,2,1,10,0,0,0,3,10,0,0,Normal
9e-06,udp,-,int,2,0,216,0,111111.1072,254,0,96000000.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,6,2,2,2,1,5,0,0,0,3,5,0,1,Fuzzers
0.056814,tcp,-,fin,26,42,2094,34406,1179.286795,31,29,283592.0625,4729397.5,5,15,2.25956,1.372781,132.432011,95.100708,255,3199526425,3202944237,255,0.000651,0.000528,0.000123,81,819,0,0,15,0,4,1,1,2,0,0,0,1,5,0,0,Normal
0.001032,udp,dns,con,2,2,130,162,2906.976908,31,29,503876.0,627907.0,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,6,1,1,7,0,0,0,4,3,0,0,Normal
